age_group,rating,kills_per_round,damage_per_round,headshot_percentage,opening_kill_rating,scope
<=20,1.1133333333333333,0.7166666666666667,76.83333333333333,49.13333333333333,1.0266666666666666,Brasil
21-23,1.1077777777777778,0.7133333333333334,77.91111111111111,47.86666666666667,1.0344444444444445,Brasil
24-26,1.0638095238095238,0.7028571428571428,77.30952380952381,46.51428571428571,1.0295238095238095,Brasil
27-29,1.053,0.688,74.405,39.62,1.0215,Brasil
30+,1.01875,0.6775,73.95,38.25,1.06,Brasil
<=20,1.0766037735849057,0.698490566037736,75.92075471698114,50.054716981132074,1.0218867924528303,Mundo
21-23,1.0777058823529413,0.7024117647058823,75.92294117647059,45.89176470588235,1.036529411764706,Mundo
24-26,1.0406201550387597,0.6922093023255814,75.59341085271318,46.103488372093025,1.0143023255813954,Mundo
27-29,1.012435233160622,0.6821761658031088,74.74559585492227,44.43834196891192,1.0081865284974094,Mundo
30+,0.9840875912408759,0.6686131386861314,73.39489051094891,43.339416058394164,0.9994890510948906,Mundo
